Ticker,Company,Average Age
NEE,NextEra Energy,50.28571429
NEM,Newmont,50.6
NFLX,Netflix,54.375
NI,NiSource,50.42857143
NKE,Nike,58.5
NOC,Northrop Grumman,57.33333333
NOW,ServiceNow,54.28571429
NRG,NRG Energy,52
NSC,Norfolk Southern,54.75
NTAP,NetApp,55
NTRS,Northern Trust,57.5
NUE,Nucor,56.71428571
NVDA,Nvidia,61
NVR,NVR,55.75
NWL,Newell Brands,56.2
NWS,News (Class B),62.33333333
NWSA,News (Class A),62.33333333
NXPI,NXP,56.83333333
O,Realty ome ,54.625
ODFL,Old Dominion Freight Line,61.11111111
OGN,Organon & Co.,55.625
OKE,Oneok,56.125
OMC,Omnicom Group,61.66666667
ORCL,Oracle,61.14285714
ORLY,O'Reilly Automotive,56.8
OTIS,Otis Worldwide,56.4
OXY,Occidental Petroleum,56.71428571
PAYC,Paycom,49.8
PAYX,Paychex,58.66666667
PCAR,Paccar,59.22222222
PEAK,Healthpeak Properties,51
PEG,Public Service Enterprise Group,59
PENN,Penn National Gaming,53.66666667
PEP,PepsiCo,55.28571429
PFE,Pfizer,58.88888889
PFG,Principal Financial Group,57.85714286
PG,Procter & Gamble,53.57142857
PGR,Progressive ,54.44444444
PH,Parker-Hannifin,56
PHM,PulteGroup,53.57142857
PKG,Packaging of America,60.33333333
PKI,PerkinElmer,51.44444444
PLD,Prologis,58.875
PM,Philip Morris International,58
PNC,PNC Financial Services,55.75
PNR,Pentair,54.85714286
PNW,Pinnacle West Capital,51.16666667
POOL,Pool ,56
PPG,PPG Industries,58.4
PPL,PPL,54.6
PRU,Prudential Financial,60.875
PSA,Public Storage,49
PSX,Phillips 66,57.71428571
PTC,PTC,56.2
PVH,PVH,51.33333333
PWR,Quanta Services,54.77777778
PXD,Pioneer Natural Resources,56.75
PYPL,PayPal,52.5
QCOM,Qualcomm,54.75
QRVO,Qorvo,56.8
RCL,Royal Caribbean Group,56.625
RE,Everest Re,55.16666667
REG,Regency Centers,58
REGN,Regeneron Pharmaceuticals,60.28571429
RF,Regions Financial ,59.33333333
RHI,Robert Half International,66.2
RJF,Raymond James Financial,57.71428571
RL,Ralph Lauren ,60.5
RMD,ResMed,61.66666667
ROK,Rockwell Automation,56.42857143
ROL,Rollins,53.16666667
ROP,Roper Technologies,49.75
ROST,Ross Stores,62.625
RSG,Republic Services,52.25
RTX,Raytheon Technologies,54.25
SBAC,SBA Communications,56
SBUX,Starbucks,55.25
SCHW,Charles Schwab ,55.66666667
SEE,Sealed Air,54
SHW,Sherwin-Williams,55
SIVB,SVB Financial,54.75
SJM,JM Smucker,51.16666667
SLB,Schlumberger,55.85714286
SNA,Snap-on,65.14285714
SNPS,Synopsys,60.14285714
SO,Southern Company,59
SPG,Simon Property Group,55.5
SPGI,S&P Global,54.9
SRE,Sempra Energy,54.125
STE,Steris,55.66666667
STT,State Street ,57.33333333
STX,Seagate Technology,56.57142857
STZ,Constellation Brands,56.5
SWK,Stanley Black & Decker,54.57142857
SWKS,Skyworks Solutions,53
SYF,Synchrony Financial,55.42857143
SYK,Stryker ,54.85714286
SYY,Sysco,53.75
T,AT&T,58.375
TAP,Molson Coors Beverage Company,49.85714286
TDG,TransDigm Group,51
TDY,Teledyne Technologies,59.5
TECH,Bio-Techne,57.33333333
TEL,TE Connectivity,57.25
TER,Teradyne,59.75
TFC,Truist Financial,59.75
TFX,Teleflex,54.6
TGT,Target ,54.125
TJX,TJX Companies,67.57142857
TMO,Thermo Fisher Scientific,51.16666667
TMUS,T-Mobile US,54.66666667
TPR,Tapestry,54.25
TRMB,Trimble,60.2
TROW,T. Rowe Price,52
TRV,The Travelers Companies,57.77777778
TSCO,Tractor Supply Company,48
TSLA,Tesla,44.5
TSN,Tyson Foods,53.75
TT,Trane Technologies,55.71428571
TTWO,Take-Two Interactive,56.25
TWTR,Twitter,46
TXN,Texas Instruments,53.625
TXT,Textron,61
TYL,Tyler Technologies,60.66666667
UA,Under Armour (Class C),53.125
UAA,Under Armour (Class A),53.125
UAL,United Airlines,56.85714286
UDR,UDR,51.42857143
UHS,Universal Health Services,63.75
ULTA,Ulta Beauty,56.2
UNH,UnitedHealth Group,59.71428571
UNP,Union Pacific,54.5
UPS,United Parcel Service,57.33333333
URI,United Rentals,51.6
USB,U.S. Bancorp,58.14285714
V,Visa,55.875
VFC,VF ,58
VLO,Valero Energy,58.85714286
VMC,Vulcan Materials,59.8
VNO,Vornado Realty Trust,55.66666667
VRSK,Verisk Analytics,52
VRSN,Verisign,60.16666667
VRTX,Vertex Pharmaceuticals,#NAME?
VTR,Ventas,55.66666667
VTRS,Viatris,57
VZ,Verizon Communications,53
WAB,Wabtec,55.11111111
WAT,Waters ,50.33333333
WBA,Walgreens Boots Alliance,57.88888889
WDC,Western Digital,57.5
WEC,WEC Energy Group,58.11111111
WELL,Welltower,45.5
WFC,Wells Fargo,55
WHR,Whirlpool ,54.71428571
WM,Waste Management,51.14285714
WMB,Williams Companies,51.875
WMT,Walmart,53
WRB,W. R. Berkley ,63.14285714
WRK,WestRock,56.28571429
WST,West Pharmaceutical Services,55.5
WU,Western Union,52
WY,Weyerhaeuser,53.375
WYNN,Wynn Resorts,59
XEL,Xcel Energy,51.22222222
XOM,ExxonMobil,59.375
XRAY,Dentsply Sirona,51.85714286
XYL,Xylem,53.77777778
YUM,Yum! Brands,49.625
ZBH,Zimmer Biomet,52.83333333
ZBRA,Zebra Technologies,55
ZION,Zions Bancorp,62.33333333
ZTS,Zoetis,53.25
